num,message_id,tag,user_id,username,join_date,country,followers,following,posts_count,likes_counts,watchlist_countsplatform
0,471681465,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166721,21808,296,Web
1,471680842,Bullish,6730405,John88888888,2022-07-05,CA,0,5,47,10,3,iOS
2,471680313,NULL,551986,CrzyChris5,2015-07-17,US,219,1,9421,1604,16,
3,471679253,NULL,1555408,STCKPRO,2018-07-24,US,8996,2,939379,51,0,STCK.PRO
4,471678042,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166721,21808,296,Web
5,471677828,NULL,5958191,Crypto_Trapper,2021-10-03,US,26,29,722,4,10,iOS
6,471677653,NULL,551986,CrzyChris5,2015-07-17,US,218,1,9421,1604,16,
7,471676170,Bullish,5958191,Crypto_Trapper,2021-10-03,US,26,29,722,4,10,iOS
8,471676052,NULL,5958191,Crypto_Trapper,2021-10-03,US,26,29,722,4,10,iOS
9,471675344,Bullish,3760220,AJRBR,2020-07-08,US,24,33,521,9637,26,Web
10,471674593,NULL,5112311,e_x_p_i_r_e,2021-02-22,US,14,7,1573,2684,11,Web
11,471672675,Bearish,6697543,Automaton_Type_2b,2022-06-16,US,0,0,58,83,14,
12,471671950,NULL,1592689,FidelCashflow1,2018-08-29,US,22,86,698,296,4,iOS
13,471671347,Bullish,4501991,Lionseer,2021-01-01,US,33,22,3214,4108,74,iOS
14,471670508,Bullish,4842799,CanIGetABreak,2021-02-02,US,11,21,1099,933,55,
15,471667457,Bullish,3160767,cloudcoin,2020-03-07,US,59,214,1541,2400,9,iOS
16,471667025,NULL,1555408,STCKPRO,2018-07-24,US,8996,2,939136,51,0,STCK.PRO
17,471665403,Bearish,3975552,Honeycombz11,2020-08-19,US,69,9,4627,3253,46,Web
18,471665192,Bullish,6284822,PeaCy____,2022-01-26,US,36,41,3233,4920,7,
19,471665078,Bearish,3902238,Pitbullbearista,2020-08-04,US,257,48,21422,13074,83,iOS
20,471664316,Bullish,3688898,marketp,2020-06-25,US,195,44,5121,10659,283,iOS
21,471662544,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166713,21807,296,Web
22,471662324,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166713,21807,296,Web
23,471661843,NULL,493176,WarHammerCapital,2015-03-29,US,149,74,12103,2794,37,iOS
24,471661415,Bearish,3902238,Pitbullbearista,2020-08-04,US,257,48,21422,13073,83,iOS
25,471660534,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166688,21807,296,Web
26,471657680,Bearish,836166,jmoney091,2016-09-07,US,202,56,6075,3373,56,iOS
27,471657097,NULL,4454753,Tristanvdb,2020-12-21,US,37,5,1545,104,25,iOS
28,471657034,NULL,4454753,Tristanvdb,2020-12-21,US,37,5,1548,104,25,iOS
29,471656140,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166688,21807,296,Web
30,471654111,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166688,21807,296,Web
31,471653004,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25134,6752,21,iOS
32,471652208,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166688,21807,296,Web
33,471651768,NULL,6308215,GreenOriginInvestment,2022-02-04,US,639,8,11811,836,9,Web
34,471651430,Bullish,5330608,ApTogStr,2021-04-09,US,13,1,675,281,55,iOS
35,471651029,NULL,1555408,STCKPRO,2018-07-24,US,8996,2,938994,51,0,STCK.PRO
36,471650970,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166662,21807,296,Web
37,471650611,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166721,21808,296,Web
38,471650439,Bullish,3191275,leonleonleon,2020-03-16,US,15,78,666,120,0,Web
39,471650422,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166713,21807,296,Web
40,471650274,NULL,2942766,Decrypt,2019-12-01,US,291,362,12101,169,0,Zapier
41,471649899,Bullish,677090,LonelyWithoutPluto,2016-01-26,US,7,8,212,301,23,iOS
42,471648933,NULL,4454753,Tristanvdb,2020-12-21,US,37,5,1545,104,25,iOS
43,471648246,Bullish,4916409,200ProcentTetna,2021-02-08,US,5,10,683,977,299,
44,471647716,Bearish,6358556,rumneychel,2022-02-26,US,19,10,1016,253,15,iOS
45,471647707,NULL,5958191,Crypto_Trapper,2021-10-03,US,26,29,722,4,10,iOS
46,471647598,NULL,4430672,adamj21,2020-12-14,US,57,10,11459,3649,99,
47,471647525,Bullish,1578839,BullnBearTrading,2018-08-16,US,340,15,3644,1854,7,Web
48,471646736,Bearish,6358556,rumneychel,2022-02-26,US,19,10,1012,253,15,iOS
49,471646395,Bearish,6629617,Adamchurch,2022-05-18,US,1,1,281,403,18,
50,471645616,NULL,1946005,Cryptonomia,2019-03-18,US,1282,1,19437,64,13,feed
51,471645471,Bearish,373989,Profit_Maker,2014-07-10,US,678,13,15864,2817,119,Web
52,471644957,NULL,1555408,STCKPRO,2018-07-24,US,8996,2,938892,51,0,STCK.PRO
53,471644939,NULL,2927899,inthewakeofthe,2019-11-21,US,203,108,9603,7332,300,iOS
54,471644835,NULL,4454753,Tristanvdb,2020-12-21,US,37,5,1544,104,25,iOS
55,471644519,NULL,1175273,saltheturtle143,2017-08-31,US,24,67,629,170,277,
56,471643902,NULL,296805,TalkMarkets,2014-01-05,US,29868,340,315790,529,0,TalkMarkets
57,471643804,NULL,6308215,GreenOriginInvestment,2022-02-04,US,636,8,11784,836,9,Web
58,471642668,Bullish,6695439,AtariFan,2022-06-15,NULL,7,7,227,59,3,Web
59,471642545,Bullish,617819,BlueSkiesTrader,2015-10-19,US,12,16,1082,1454,42,
60,471641382,NULL,1555408,STCKPRO,2018-07-24,US,8995,2,938831,51,0,STCK.PRO
61,471641352,NULL,6734696,BidensSafetyHelmet,2022-07-08,NULL,2,0,169,70,7,iOS
62,471641162,NULL,6702194,LiveLucky9,2022-06-19,NULL,2,2,327,88,52,Web
63,471640480,NULL,6617708,VictoriaPotter,2022-05-14,US,0,0,6,0,0,Web
64,471640171,NULL,5958191,Crypto_Trapper,2021-10-03,US,26,29,720,4,10,iOS
65,471640167,NULL,2111912,Buy_or_Bust,2019-05-30,US,24,4,2262,3228,5,iOS
66,471639856,NULL,1555408,STCKPRO,2018-07-24,US,8995,2,938801,51,0,STCK.PRO
67,471639820,NULL,6321657,CROWHALE,2022-02-10,US,7,0,184,6,38,
68,471638803,Bullish,6609203,Cryptoovercash,2022-05-11,US,0,0,21,11,0,Web
69,471638673,Bullish,6367478,TruthFinders1,2022-03-03,US,3,1,173,138,3,iOS
70,471638138,Bullish,6641050,blackeagle7,2022-05-24,US,7,5,365,13929,11,
71,471638057,Bullish,6730405,John88888888,2022-07-05,CA,0,5,47,10,3,iOS
72,471637961,NULL,6738964,lisapeterson12,2022-07-10,US,5,65,9,35,5,
73,471637932,Bullish,5403294,UnstopaBull,2021-04-27,US,19,2,1793,619,20,iOS
74,471637554,Bullish,6730405,John88888888,2022-07-05,CA,0,5,49,10,3,iOS
75,471637053,Bullish,6574716,cryptoforecast,2022-04-26,US,39,49,1632,4844,65,
76,471637029,Bullish,6574716,cryptoforecast,2022-04-26,US,39,49,1632,4844,65,
77,471636980,NULL,4831400,Azir83,2021-02-02,US,34,1,5068,1304,146,
78,471636900,NULL,2942766,Decrypt,2019-12-01,US,291,362,12097,169,0,Zapier
79,471636737,NULL,3329758,Andrewfritzen01,2020-04-19,US,229,56,14669,13293,299,iOS
80,471636652,NULL,6574716,cryptoforecast,2022-04-26,US,39,49,1632,4863,65,
81,471636332,Bearish,6722433,SPY_trades69,2022-07-01,NULL,1,2,85,45,6,iOS
82,471636022,Bullish,295685,mikelmahoo,2014-01-02,US,13,4,1189,343,88,Web
83,471635930,NULL,3100807,Devblades28,2020-02-16,US,62,52,1545,912,299,
84,471635677,NULL,411858,ospreyeye,2014-10-14,US,33340,138,35863,955,291,
85,471635120,Bearish,6122093,NotFinancialAdvice007,2021-11-22,US,5,0,677,0,0,iOS
86,471634253,Bearish,1996081,TheyCmeTrollin,2019-04-09,US,4,7,713,461,9,
87,471634248,NULL,4988555,Shamani,2021-02-11,US,3,33,187,94,61,Web
88,471633941,Bullish,4501991,Lionseer,2021-01-01,US,33,22,3214,4108,74,iOS
89,471633916,NULL,1555408,STCKPRO,2018-07-24,US,8995,2,938778,51,0,STCK.PRO
90,471633743,Bearish,5447254,Market_Bear_king,2021-05-08,US,13,7,580,374,0,Web
91,471633724,Bullish,6252585,FullDegenerate,2022-01-13,US,17,3,1404,346,11,iOS
92,471633147,Bearish,6689417,TraderDude69,2022-06-10,US,14,1,1483,6427,15,iOS
93,471633075,NULL,2942766,Decrypt,2019-12-01,US,291,362,12096,169,0,Zapier
94,471632976,Bullish,344583,RobertFrost,2014-04-19,US,9,60,429,176,1,
95,471632517,NULL,411858,ospreyeye,2014-10-14,US,33338,138,35847,954,291,
96,471632472,Bullish,6730405,John88888888,2022-07-05,CA,0,5,45,10,3,iOS
97,471632279,Bullish,4738591,msukfan,2021-01-28,US,4,4,569,1196,8,iOS
98,471632023,NULL,6285418,SayLetsGoBrandon,2022-01-27,US,25,4,1163,4269,3,iOS
99,471631873,Bullish,344583,RobertFrost,2014-04-19,US,9,60,427,176,1,
100,471631565,NULL,1452137,Rogue80,2018-03-22,US,495,208,15393,12543,85,
101,471631477,NULL,4725642,JaneDoe000,2021-01-27,US,93,13,8918,7726,103,iOS
102,471631351,NULL,6285418,SayLetsGoBrandon,2022-01-27,US,25,4,1163,4264,3,iOS
103,471630986,Bullish,6730405,John88888888,2022-07-05,CA,0,5,45,9,3,iOS
104,471630670,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25132,6751,21,iOS
105,471630395,NULL,3017711,Silverfox89,2020-01-09,US,20,21,967,832,160,iOS
106,471629781,Bullish,6730405,John88888888,2022-07-05,CA,0,5,49,10,3,iOS
107,471629571,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25128,6751,21,iOS
108,471629561,NULL,411858,ospreyeye,2014-10-14,US,33338,138,35838,952,291,
109,471629116,Bullish,3055465,ItIsPennywise,2020-01-26,US,25,0,1021,399,15,iOS
110,471628908,NULL,1539027,TraderLeibniz,2018-07-05,US,1310,115,76850,57540,214,Web
111,471628848,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25128,6750,21,iOS
112,471628838,NULL,1539027,TraderLeibniz,2018-07-05,US,1313,115,76850,57540,214,Web
113,471628807,NULL,1539027,TraderLeibniz,2018-07-05,US,1313,115,76850,57540,214,Web
114,471628727,NULL,6730405,John88888888,2022-07-05,CA,0,5,45,9,3,iOS
115,471628616,Bearish,4992123,TheAnxiousJourney,2021-02-11,US,48,2,8731,1880,20,
116,471628412,Bullish,6628717,BoosterG,2022-05-18,US,4,1,42,25,13,Web
117,471627746,NULL,5982177,Jnb410,2021-10-13,US,25,4,3002,931,2,iOS
118,471627461,Bearish,90095,CUPandHANDLE_CHARTS,2011-07-03,US,8684,1724,6475,6053,86,iOS
119,471627258,NULL,2942766,Decrypt,2019-12-01,US,291,362,12093,169,0,Zapier
120,471623483,NULL,1555408,STCKPRO,2018-07-24,US,8995,2,938778,51,0,STCK.PRO
121,471622758,Bullish,3116080,Actionbronson,2020-02-22,US,765,976,15952,37512,88,Web
122,471622299,NULL,6560655,TradingMainCast,2022-04-19,US,40,0,706,728,0,Web
123,471621958,Bearish,6644603,nvhideout,2022-05-25,US,1,8,27,3,0,
124,471621725,Bullish,1158084,GodiTwits,2017-08-16,US,2235,6,24064,12120,298,iOS
125,471621598,Bullish,3501011,RagingBull4444,2020-05-24,US,119,133,5873,3850,34,iOS
126,471621565,NULL,3408882,dreamchasers,2020-05-05,US,63,11,5314,3479,4,Web
127,471621564,Bullish,4321107,Achayan,2020-11-20,US,63,30,2966,893,74,
128,471621159,NULL,665944,Pinko,2016-01-07,US,290,129,16459,986,53,Web
129,471620887,NULL,6357905,CrateCrimes,2022-02-26,US,0,1,30,14,8,iOS
130,471620833,NULL,1125085,Conflitm749,2017-07-14,US,94,86,6242,8293,35,
131,471620607,Bullish,5355040,FlyestFly,2021-04-16,US,6,1,782,344,8,iOS
132,471620300,Bullish,4083890,AtomicApe,2020-09-18,US,53,87,4668,4098,4,iOS
133,471618650,NULL,1555408,STCKPRO,2018-07-24,US,8991,2,938705,51,0,STCK.PRO
134,471618603,NULL,1791322,oldswedebich,2019-01-03,US,11,6,1383,946,9,iOS
135,471618393,NULL,3490897,Rainmakerdricks,2020-05-21,US,27,16,4934,2551,23,Web
136,471617254,Bearish,3308135,Tly1124,2020-04-14,US,19,177,897,2938,219,
137,471617204,Bullish,3872468,wha1e,2020-07-29,US,1664,16,15318,14534,8,iOS
138,471616456,NULL,6308215,GreenOriginInvestment,2022-02-04,US,639,8,11782,835,9,Web
139,471616343,Bearish,6193028,LuckyLicks333,2021-12-21,US,7,0,740,104,52,iOS
140,471615944,NULL,90095,CUPandHANDLE_CHARTS,2011-07-03,US,8684,1725,6475,6052,86,iOS
141,471615908,NULL,391,jackdamn,2009-09-01,US,92746,1,40799,3333,1,Web
142,471615718,Bullish,3688898,marketp,2020-06-25,US,195,44,5118,10658,283,iOS
143,471615163,NULL,873025,GordonGekko888,2016-11-05,US,3904,9,50558,30215,0,Web
144,471614319,Bullish,6191650,THE_MANTIS,2021-12-21,US,118,134,5981,19683,38,
145,471614164,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16229,18500,19,Web
146,471613741,NULL,1555408,STCKPRO,2018-07-24,US,8991,2,938713,51,0,STCK.PRO
147,471613653,NULL,391,jackdamn,2009-09-01,US,92746,1,40799,3333,1,Web
148,471613629,NULL,251501,MetaAnalysis,2013-08-11,US,1672,94,11815,2045,292,iOS
149,471613369,NULL,4744627,JavierAyala,2021-01-28,US,236,23,8595,817,12,iOS
150,471613323,Bullish,3446598,DFWxplorer,2020-05-13,US,188,65,7130,91582,44,iOS
151,471613113,NULL,3294967,Judy11,2020-04-11,US,116,10,19603,2409,127,iOS
152,471612999,NULL,4346721,BlameBiden,2020-11-26,US,47,0,10796,1246,10,iOS
153,471612740,NULL,551986,CrzyChris5,2015-07-17,US,219,1,9420,1600,16,
154,471612180,Bullish,2109745,ThicccMoney,2019-05-29,US,3,2,342,62,12,iOS
155,471611994,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16229,18500,19,Web
156,471611438,NULL,768775,Age_of_Aquarius,2016-06-08,US,368,8,20532,9148,16,iOS
157,471611218,NULL,3265366,A76er76er,2020-04-03,US,85,20,6067,2456,1,Web
158,471611187,NULL,324553,AlienOvichO,2014-03-05,US,585,58,7189,95,1,Web
159,471611164,Bullish,1319559,WallStCrook,2017-12-16,US,204,10,3373,1747,67,iOS
160,471611155,NULL,3975552,Honeycombz11,2020-08-19,US,69,9,4626,3247,46,Web
161,471610424,Bullish,4327529,Hometokenguy,2020-11-22,US,13,39,636,469,34,
162,471609943,Bullish,1228361,CryptoTraderForLife,2017-10-16,US,29,24,2284,6304,90,iOS
163,471609871,Bullish,4815955,bradenstocks12,2021-02-01,US,16,44,1632,2395,69,iOS
164,471609807,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166677,21807,296,Web
165,471609804,Bullish,1158084,GodiTwits,2017-08-16,US,2235,6,24064,12120,298,iOS
166,471609754,Bearish,5447254,Market_Bear_king,2021-05-08,US,13,7,574,374,0,Web
167,471609442,NULL,6033173,srynotsry,2021-10-27,US,5,9,968,865,16,
168,471609372,Bullish,2234434,MahketMaka,2019-07-31,US,136,29,12189,12889,41,
169,471608922,NULL,4986536,MikeHockInbahls,2021-02-11,US,127,84,7203,19745,71,
170,471608571,Bullish,6308215,GreenOriginInvestment,2022-02-04,US,639,8,11776,835,9,Web
171,471608520,Bullish,6730405,John88888888,2022-07-05,CA,0,5,45,7,3,Web
172,471608442,NULL,6308215,GreenOriginInvestment,2022-02-04,US,639,8,11776,835,9,Web
173,471608105,Bullish,432939,stockydave22,2014-12-05,US,141,96,21657,187,57,
174,471608007,Bullish,5211086,PepeFrog,2021-03-09,US,9,8,1091,957,0,Web
175,471607983,NULL,1555408,STCKPRO,2018-07-24,US,8991,2,938682,51,0,STCK.PRO
176,471607923,Bearish,6005288,Ethman1994,2021-10-21,US,8,0,1467,40,0,Web
177,471607511,NULL,30669,patrickrooney,2010-11-28,US,2046,916,5099,682,36,iOS
178,471607482,NULL,2894172,Jjw2019,2019-11-01,US,3,29,413,11,26,iOS
179,471607414,NULL,1007119,ShartMarket,2017-03-24,US,4,62,400,74,41,
180,471607409,Bearish,2877121,johnjohn555,2019-10-22,US,5,180,686,1185,14,
181,471607317,Bullish,6730405,John88888888,2022-07-05,CA,0,6,36,7,3,Web
182,471607173,NULL,459276,PaidBashar,2015-02-03,US,57,9,7925,354,28,
183,471606745,NULL,2793314,The_Perfect_Wave,2019-09-05,US,5046,4,39499,11572,1,
184,471606423,Bullish,6730405,John88888888,2022-07-05,CA,0,6,36,7,3,Web
185,471606274,NULL,3408882,dreamchasers,2020-05-05,US,63,11,5311,3477,4,Web
186,471605757,NULL,2793314,The_Perfect_Wave,2019-09-05,US,5046,4,39499,11570,1,
187,471605653,NULL,4303359,Bearswin2,2020-11-14,US,68,10,5765,380,91,
188,471605445,Bullish,5330608,ApTogStr,2021-04-09,US,13,1,672,278,55,iOS
189,471605277,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25123,6749,21,iOS
190,471605014,Bullish,6641050,blackeagle7,2022-05-24,US,7,5,353,13866,11,
191,471604878,NULL,101035,ShowMeTheMoney1001,2011-08-16,US,74,32,2638,1626,21,iOS
192,471604853,NULL,6702194,LiveLucky9,2022-06-19,NULL,2,2,322,85,52,iOS
193,471604641,Bullish,115915,Chark,2011-11-04,US,2442,94,43755,5546,286,Web
194,471604463,NULL,6189709,JudgeAnderson,2021-12-20,US,10,0,213,41,4,Web
195,471604424,Bullish,6730405,John88888888,2022-07-05,CA,0,6,36,7,3,Web
196,471604346,NULL,459276,PaidBashar,2015-02-03,US,57,9,7925,354,28,
197,471604264,NULL,172708,KRowland,2012-07-31,US,6,17,171,31,59,iOS
198,471604219,NULL,5958191,Crypto_Trapper,2021-10-03,US,26,29,714,4,9,iOS
199,471604194,NULL,6730405,John88888888,2022-07-05,CA,0,6,36,7,3,Web
200,471603982,NULL,4346721,BlameBiden,2020-11-26,US,47,0,10795,1246,10,iOS
201,471603749,NULL,6119988,MoneyMayne12,2021-11-21,US,12,20,1998,14357,44,iOS
202,471603391,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166677,21807,296,Web
203,471602943,NULL,254176,tuningin,2013-08-18,US,31,28,6058,5407,24,iOS
204,471602429,NULL,1280873,rich54,2017-11-24,US,7,66,666,297,68,iOS
205,471602347,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25128,6749,21,iOS
206,471602154,NULL,1555408,STCKPRO,2018-07-24,US,8991,2,938643,51,0,STCK.PRO
207,471602106,Bullish,4815955,bradenstocks12,2021-02-01,US,16,44,1632,2395,69,iOS
208,471601871,Bullish,299240,bigwhalealert,2014-01-10,US,451,7,106786,4051,102,Web
209,471600095,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166677,21807,296,Web
210,471598473,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166677,21807,296,Web
211,471598013,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166677,21807,296,Web
212,471597511,NULL,4116130,KM2020,2020-09-28,US,8,46,159,491,7,iOS
213,471597222,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8428,3,166652,21807,296,Web
214,471596663,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,5,0,330,178,0,Web
215,471594252,Bearish,90095,CUPandHANDLE_CHARTS,2011-07-03,US,8687,1725,6473,6051,86,iOS
216,471593370,NULL,2026416,BagmanBurns,2019-04-22,US,41,6,2599,165,24,iOS
217,471592929,NULL,1555408,STCKPRO,2018-07-24,US,8992,2,938594,51,0,STCK.PRO
218,471592180,NULL,2151386,jooshpak,2019-06-20,US,5,1,448,320,22,Web
219,471591669,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16224,18499,19,Web
220,471591631,NULL,2942766,Decrypt,2019-12-01,US,291,362,12092,169,0,Zapier
221,471590355,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8431,3,166616,21807,296,Web
222,471590024,NULL,4674841,Paulrc123,2021-01-24,US,4,6,1093,1463,15,iOS
223,471589334,Bullish,2841306,DeFi_Wookie,2019-10-04,US,323,19,25121,6747,21,iOS
224,471588804,Bullish,6356185,itradeai,2022-02-25,US,57,26,380,51,46,Web
225,471588249,NULL,5106791,Joshua123467,2021-02-22,US,3,7,706,96,23,iOS
226,471587888,Bearish,6356187,Stonkchaser7,2022-02-25,US,8,4,2105,2804,15,Web
227,471587808,NULL,4686630,TheFallofAdam,2021-01-25,US,120,25,8188,17448,3,iOS
228,471587596,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8430,3,166616,21807,296,Web
229,471587298,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8430,3,166616,21807,296,Web
230,471586988,Bullish,673587,whodunnit1,2016-01-20,US,113,93,7959,4276,41,Web
231,471586459,NULL,1658247,PREMIUM4SELL,2018-10-12,US,86,10,2731,794,63,iOS
232,471583313,NULL,296805,TalkMarkets,2014-01-05,US,29868,340,315775,529,0,TalkMarkets
233,471582970,NULL,5587624,dontalwaysbuythedip,2021-06-11,US,9,10,763,590,32,iOS
234,471582199,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8430,3,166591,21807,296,Web
235,471581737,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8430,3,166616,21807,296,Web
236,471581026,Bullish,6723414,__SuNdAyGrAvY__,2022-07-01,NULL,5,0,306,170,0,Web
237,471580882,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16224,18499,19,Web
238,471580778,NULL,768775,Age_of_Aquarius,2016-06-08,US,368,8,20528,9148,16,iOS
239,471580234,NULL,3879527,andytradez,2020-07-30,US,3,2,545,171,27,iOS
240,471579751,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8429,3,166591,21807,296,Web
241,471579714,NULL,5414477,TILLYWISE,2021-04-30,US,52,5,6059,2712,65,
242,471579641,Bullish,1870449,9owls,2019-02-14,US,109,4,12191,1106,22,Web
243,471579018,NULL,7108,Benzinga,2009-12-04,US,286459,531,126913,122,6,Web
244,471578898,NULL,1505519,Billionaireclubcollc,2018-05-26,US,8430,3,166616,21807,296,Web
245,471576340,Bullish,5295994,DigitalDataNomad,2021-03-29,US,352,168,16220,18499,19,Web
246,471575467,Bullish,5195042,tomhdk,2021-03-05,US,33,0,4132,661,25,
247,471574587,NULL,4346721,BlameBiden,2020-11-26,US,47,0,10773,1246,10,iOS
